RTT,RTO,Diferencia RTT-RTO
490.0,1000.0,510.0
740.0,1450.0,710.0
490.0,1705.0,1215.0
500.0,1435.0,935.0
500.0,769.375,269.375
500.0,570.90625,70.90625
500.0,518.0828125,18.0828125
500.0,510.00125,10.00125
490.0,510.000125,20.000125
500.0,521.286017383,21.2860173828
500.0,533.671464971,33.6714649707
500.0,511.252862305,11.2528623052
500.0,509.991000012,9.9910000125
500.0,509.999100001,9.99910000125
490.0,509.99991,19.9999100001
490.0,521.050610297,31.0506102966
490.0,500.612626924,10.6126269242
500.0,500.00999991,0.00999991000015
500.0,529.703038825,29.703038825
250.0,510.572609735,260.572609735
250.0,1027.35843743,777.358437431
250.0,515.561137858,265.561137858
500.0,323.512437314,176.487562686
500.0,1242.59092401,742.590924014
250.0,764.319012472,514.319012472
250.0,1083.96187527,833.961875271
250.0,529.028681033,279.028681033
500.0,326.81099148,173.18900852
250.0,1243.423115,993.423114998
250.0,1139.67631696,889.676316962
250.0,536.551133062,286.551133062
500.0,328.050988648,171.949011352
500.0,1243.8039192,743.803919199
500.0,764.630097003,264.630097003
500.0,574.025435971,74.0254359712
500.0,519.293150165,19.2931501648
500.0,509.99750225,9.99750225025
490.0,509.999750225,19.999750225
490.0,521.307628035,31.3076280354
490.0,500.676835823,10.676835823
490.0,500.00999975,10.0099997502
500.0,500.000999975,0.000999975022467
490.0,529.188612516,39.1886125155
240.0,525.447438122,285.447438122
500.0,1026.42688803,526.42688803
500.0,1371.57321886,871.573218858
500.0,791.889954399,291.889954399
500.0,580.372153568,80.3721535683
500.0,520.833004889,20.8330048889
500.0,509.9976509,9.99765090001
500.0,509.99976509,9.99976509
500.0,509.999976509,9.999976509
500.0,509.999997651,9.9999976509
500.0,509.999999765,9.99999976509
500.0,509.999999977,9.99999997651
500.0,509.999999998,9.99999999765
490.0,510.0,19.9999999998
490.0,521.000081352,31.0000813515
500.0,500.600020338,0.600020337817
490.0,531.335005084,41.3350050845
490.0,526.012251271,36.0122512711
500.0,501.570912818,1.57091281778
500.0,531.608913204,31.6089132044
500.0,511.023846801,11.0238468011
500.0,509.9900901,9.9900901
490.0,509.99900901,19.99900901
490.0,521.196737447,31.1967374466
500.0,500.64890193,0.648901929511
500.0,531.347256699,31.3472566986
500.0,510.955317296,10.9553172963
500.0,509.99009999,9.99009999009
490.0,509.999009999,19.999009999
500.0,521.195642232,21.1956422322
490.0,533.649222408,43.6492224084
500.0,526.847277387,26.8472773871
500.0,535.345322465,35.3453224653
500.0,511.699680928,11.6996809282
500.0,509.990909999,9.99090999901
490.0,509.999091,19.9990909999
490.0,521.205271179,31.2052711794
490.0,500.65105873,10.6510587298
500.0,500.009999091,0.00999909099988
500.0,529.705437557,29.7054375573
500.0,510.573209676,10.5732096757
490.0,509.990009999,19.9900099991
490.0,521.711025359,31.7110253593
500.0,500.77490919,0.774909189565
500.0,531.379041982,31.3790419824
500.0,510.963291964,10.9632919641
500.0,509.9900999,9.9900999001
250.0,509.99900999,259.99900999
490.0,1025.19576706,535.195767059
250.0,1301.04925362,1051.04925362
250.0,1135.48728519,885.487285189
250.0,533.644318476,283.644318476
490.0,327.138329337,162.861670663
490.0,1204.59630737,714.596307365
490.0,744.180249344,254.180249344
490.0,561.098179586,71.0981795864
490.0,508.529856622,18.5298566216
250.0,499.997602185,249.997602185
500.0,995.170165059,495.170165059
250.0,1335.69329658,1085.69329658
250.0,1169.51325581,919.513255806
250.0,544.687307118,294.687307118
500.0,330.152726096,169.847273904
500.0,1244.3218716,744.3218716
500.0,764.758836907,264.758836907
500.0,574.057546128,74.0575461276
500.0,519.301170222,19.301170222
500.0,509.997502274,9.997502274
500.0,509.999750227,9.9997502274
490.0,509.999975023,19.9999750227
490.0,521.077241796,31.0772417962
490.0,500.619303331,10.6193033305
490.0,500.009999975,10.009999975
490.0,500.000999998,10.0009999975
500.0,500.0001,9.99997502618e-05
500.0,529.048113512,29.0481135121
500.0,510.411996878,10.4119968781
500.0,509.9900001,9.9900001
490.0,509.99900001,19.99900001
500.0,521.187399704,21.1873997041
500.0,533.647164923,33.6471649229
500.0,511.24682273,11.2468227304
250.0,509.9909999,259.9909999
490.0,1025.74815192,535.748151923
