RTT,RTO,Diferencia RTT-RTO
740.0,1000.0,260.0
500.0,2220.0,1720.0
500.0,1900.0,1400.0
500.0,1605.0,1105.0
490.0,1356.25,866.25
490.0,1173.4375,683.4375
490.0,1019.453125,529.453125
490.0,895.52734375,405.52734375
500.0,798.364257812,298.364257812
500.0,705.882568359,205.882568359
500.0,645.46661377,145.46661377
500.0,604.627304077,104.627304077
500.0,576.234149933,76.2341499329
500.0,556.057448387,56.0574483871
490.0,541.484004259,51.4840042591
500.0,548.333462179,48.3334621787
500.0,526.110326126,26.1103261262
490.0,514.512859341,24.5128593408
250.0,525.849701879,275.849701879
250.0,945.619805095,695.619805095
500.0,1016.08111816,516.081118165
250.0,951.549016639,701.549016639
740.0,976.677067104,236.677067104
500.0,1496.56204093,996.562040928
500.0,1056.948651,556.948650996
500.0,822.475048397,322.475048397
490.0,694.238066372,204.238066372
500.0,599.369439817,99.3694398168
250.0,572.622524881,322.622524881
250.0,951.692664788,701.692664788
250.0,1006.13238415,756.132384155
750.0,932.030730898,182.030730898
250.0,1538.7027178,1288.7027178
740.0,1346.58141199,606.581411988
500.0,1636.98984169,1136.98984169
500.0,1093.76927262,593.769272621
500.0,815.840400142,315.840400142
250.0,672.137022944,422.137022944
250.0,1009.85943227,759.859432273
750.0,1041.52290674,291.522906737
500.0,1530.66542552,1030.66542552
490.0,1054.01069187,564.010691871
500.0,783.51383027,283.51383027
500.0,667.888278386,167.888278386
500.0,603.542661631,103.542661631
490.0,566.470222644,76.4702226439
500.0,536.561179916,36.5611799159
500.0,530.923716611,30.9237166115
250.0,524.944203296,274.944203296
250.0,940.828411836,690.828411836
250.0,1010.43143856,760.431438559
750.0,941.47864376,191.47864376
500.0,1539.1692826,1039.1692826
500.0,1102.15711184,602.15711184
490.0,863.007908824,373.007908824
490.0,705.450969091,215.450969091
490.0,619.435745554,129.435745554
490.0,571.000568534,81.0005685338
500.0,542.712306084,42.7123060844
490.0,548.015169405,58.0151694054
490.0,521.501846975,31.501846975
490.0,507.621620192,17.6216201918
490.0,500.213832624,10.2138326241
500.0,499.549028473,0.450971526921
490.0,516.368791776,26.3687917762
490.0,508.048381436,18.0483814364
500.0,502.672179879,2.67217987945
500.0,516.708096262,16.7080962623
500.0,519.883052873,19.8830528731
500.0,518.588279993,18.588279993
500.0,515.779205164,15.7792051639
500.0,512.753401457,12.7534014574
490.0,510.024549885,20.0245498854
490.0,518.994706113,28.9947061131
490.0,518.734176434,28.7341764343
490.0,515.044705751,25.0447057505
500.0,510.530566025,10.5305660253
500.0,518.093825342,18.0938253418
500.0,518.668319418,18.6683194178
500.0,516.550214769,16.550214769
490.0,513.68714868,23.6871486796
490.0,519.124820234,29.1248202338
500.0,517.523344537,17.5233445374
500.0,518.70112719,18.7011271901
500.0,516.805154786,16.8051547861
500.0,513.993520786,13.9935207863
490.0,511.189967938,21.1899679381
490.0,519.051533836,29.0515338364
500.0,518.368179319,18.3681793187
500.0,518.609349092,18.6093490924
500.0,516.373619121,16.373619121
500.0,513.488517992,13.4885179916
500.0,510.720540319,10.7205403191
500.0,508.721909575,8.72190957465
500.0,509.041432181,9.04143218099
490.0,509.281074136,19.2810741357
500.0,518.323138352,18.3231383521
500.0,514.480159373,14.4801593729
490.0,511.229022334,21.2290223341
490.0,519.268030757,29.2680307568
490.0,518.624155071,28.6241550708
500.0,514.804682305,14.8046823046
500.0,518.781655037,18.7816550369
490.0,517.925312932,27.9253129319
500.0,518.232974103,18.232974103
500.0,518.292135097,18.2921350966
490.0,516.027803582,26.0278035821
490.0,518.877942044,28.8779420442
500.0,516.337001212,16.3370012119
500.0,518.727982995,18.7279829952
250.0,517.28360329,267.28360329
250.0,938.505033131,688.505033131
500.0,1010.39994018,510.39994018
250.0,949.947306315,699.947306315
500.0,974.681578941,474.681578941
500.0,956.261166097,456.261166097
500.0,892.320865518,392.320865518
