RTT,RTO,Diferencia RTT-RTO
500.0,1000.0,500.0
740.0,1500.0,760.0
490.0,1524.0,1034.0
500.0,890.9,390.9
490.0,719.715,229.715
490.0,690.94025,200.94025
490.0,643.5705875,153.5705875
500.0,605.464480625,105.464480625
500.0,543.127014469,43.1270144687
500.0,528.748126252,28.7481262516
500.0,521.201381229,21.2013812287
500.0,515.865064576,15.8650645755
500.0,511.895201297,11.895201297
490.0,511.364386082,21.3643860817
490.0,540.190744973,50.1907449731
490.0,531.243055133,41.2430551327
490.0,521.29229099,31.2922909898
500.0,513.505218206,13.5052182064
500.0,520.243021609,20.2430216088
500.0,516.193677002,16.193677002
500.0,512.246398831,12.2463988311
490.0,509.194913231,19.1949132313
490.0,525.807543426,35.8075434258
490.0,518.99679342,28.9967934196
490.0,511.96170865,21.9617086497
500.0,506.492692846,6.49269284577
500.0,522.706668136,22.7066681357
500.0,518.813715952,18.813715952
240.0,514.288658449,274.288658449
250.0,1359.02268725,1109.02268725
250.0,1137.09763478,887.097634781
250.0,920.85628802,670.85628802
500.0,753.695522209,253.695522209
500.0,1035.5755783,535.5755783
490.0,936.21207739,446.21207739
490.0,792.112097409,302.112097409
260.0,713.329376993,453.329376993
250.0,1074.16712139,824.167121389
250.0,951.542349906,701.542349906
500.0,784.498463316,284.498463316
500.0,1024.21770394,524.217703939
500.0,924.247663599,424.247663599
500.0,821.294186264,321.294186264
500.0,741.281483554,241.281483554
500.0,680.992197051,180.992197051
500.0,635.747256227,135.747256227
500.0,601.810753014,101.810753014
500.0,576.358095845,76.3580958451
490.0,557.268574992,67.2685749922
500.0,504.451431555,4.45143155502
500.0,535.738573697,35.7385736973
500.0,530.043930276,30.0439302761
500.0,522.856947707,22.8569477074
500.0,517.175110781,17.1751107806
500.0,512.884573085,12.8845730854
490.0,509.663753814,19.6637538141
490.0,525.41679653,35.4167965301
500.0,518.629495515,18.6294955145
500.0,518.302527765,18.3025277647
490.0,514.159936436,24.1599364364
250.0,521.59366596,271.59366596
250.0,1319.04262083,1069.04262083
500.0,1138.31670276,638.316702761
250.0,894.537546747,644.537546747
490.0,1019.62325256,529.623252556
500.0,883.85938077,383.85938077
500.0,823.558729713,323.558729713
500.0,746.235466698,246.235466698
500.0,685.033241965,185.033241965
500.0,638.810595668,138.810595668
500.0,604.11151317,104.11151317
500.0,578.08399152,78.0839915197
500.0,558.563029304,58.563029304
500.0,543.922275544,43.9222755444
500.0,532.941707015,32.9417070149
500.0,524.706280297,24.7062802969
500.0,518.529710226,18.5297102262
500.0,513.89728267,13.89728267
490.0,510.422962003,20.4229620026
490.0,524.781810596,34.7818105962
240.0,518.032816857,278.032816857
250.0,1348.71925853,1098.71925853
500.0,1128.05890849,628.058908489
250.0,900.396785183,650.396785183
250.0,1012.76985625,762.769856251
740.0,849.574618925,109.574618925
250.0,1924.03487044,1674.03487044
500.0,1232.38340577,732.383405775
500.0,886.469382885,386.469382885
500.0,773.570220019,273.570220019
500.0,703.5494833,203.5494833
500.0,652.499294304,152.499294304
500.0,614.358188911,114.358188911
500.0,585.767013501,85.7670135012
490.0,564.325097308,74.3250973077
490.0,509.743806699,19.743806699
500.0,501.207853396,1.20785339605
500.0,536.545889884,36.5458898842
500.0,530.973417397,30.9734173969
500.0,523.586463046,23.586463046
500.0,517.725487284,17.7254872844
500.0,513.297679463,13.2976794633
500.0,509.973615997,9.97361599744
500.0,508.351808634,8.35180863432
490.0,508.763856476,18.7638564757
490.0,528.807408951,38.8074089512
490.0,521.815533412,31.8155334115
490.0,514.132647728,24.1326477285
490.0,508.126585563,18.1265855633
500.0,503.597649149,3.5976491492
500.0,523.724637459,23.7246374592
500.0,519.896118154,19.8961181541
500.0,515.132352622,15.1323526216
500.0,511.370290867,11.3702908668
500.0,508.52982079,8.52982079015
500.0,508.590357514,8.59035751417
250.0,508.942768136,258.942768136
490.0,1333.48658487,843.486584868
500.0,731.562783987,231.562783987
500.0,670.566872524,170.566872524
490.0,627.614632846,137.614632846
