RTT,RTO,Diferencia RTT-RTO
500.0,1000.0,500.0
740.0,1500.0,760.0
490.0,1670.0,1180.0
490.0,1470.0,980.0
500.0,1248.75,748.75
490.0,1062.5,572.5
500.0,924.609375,424.609375
500.0,829.53125,329.53125
500.0,749.916992188,249.916992188
500.0,688.129882812,188.129882812
500.0,641.270446777,141.270446777
500.0,605.99609375,105.99609375
490.0,579.507884979,89.5078849792
490.0,562.130012512,72.1300125122
250.0,545.347284079,295.347284079
500.0,1183.64581347,683.645813465
500.0,853.632847294,353.632847294
500.0,836.416052282,336.416052282
500.0,770.109893414,270.109893414
490.0,707.031883611,217.031883611
490.0,657.403124079,167.403124079
490.0,616.709645902,126.709645902
250.0,585.321560137,335.321560137
240.0,621.563501531,381.563501531
250.0,561.190709005,311.190709005
500.0,487.147552468,12.8524475321
500.0,862.544773815,362.544773815
500.0,864.954607728,364.954607728
500.0,796.977462637,296.977462637
500.0,728.548473688,228.548473688
490.0,672.865199444,182.865199444
490.0,632.027745901,142.027745901
490.0,597.740521006,107.740521006
490.0,571.110318649,81.1103186492
490.0,550.908970961,60.9089709606
500.0,535.700786214,35.7007862139
240.0,541.761296165,301.761296165
240.0,595.072163249,355.072163249
490.0,538.491920218,48.4919202176
500.0,877.228091827,377.228091827
500.0,885.635856787,385.635856787
250.0,814.905589569,564.905589569
750.0,796.539300762,46.5393007618
500.0,1442.75939413,942.759394133
490.0,1277.24830239,787.248302386
490.0,1102.98091599,612.980915986
250.0,955.371859289,705.371859289
490.0,900.437937541,410.437937541
490.0,1066.77167085,576.77167085
500.0,989.814557561,489.814557561
500.0,899.169869277,399.169869277
490.0,807.329639734,317.329639734
500.0,732.334543319,232.334543319
250.0,685.99792235,435.99792235
250.0,701.019523858,451.019523858
500.0,619.269913417,119.269913417
500.0,941.19848217,441.19848217
250.0,918.835373404,668.835373404
500.0,869.298487405,369.298487405
250.0,1063.71989754,813.71989754
490.0,961.394420489,471.394420489
500.0,1127.71744237,627.717442366
500.0,1056.83098852,556.830988524
500.0,939.133968081,439.133968081
500.0,834.728157732,334.728157732
500.0,752.390538717,252.390538717
490.0,689.629009142,199.629009142
500.0,644.693748098,144.693748098
500.0,619.791317643,119.791317643
500.0,592.661239874,92.6612398742
500.0,570.200367816,70.2003678162
500.0,552.82638534,52.8263853398
500.0,539.663816374,39.6638163743
500.0,529.758869123,29.7588691231
250.0,522.321903553,272.321903553
250.0,579.241198355,329.241198355
740.0,528.180841439,211.819158561
490.0,1292.69817407,802.698174075
500.0,1157.72675197,657.726751973
500.0,1004.72084433,504.720844334
500.0,881.397078339,381.397078339
500.0,786.761920027,286.761920027
500.0,715.249967838,215.249967838
500.0,661.482107833,161.482107833
500.0,621.122738863,121.122738863
500.0,590.844843645,90.8448436447
500.0,568.134330108,68.1343301078
500.0,551.100921924,51.1009219244
490.0,538.325735029,48.3257350292
490.0,531.244312168,41.2443121684
500.0,522.18323685,22.1832368504
500.0,530.699925595,30.6999255947
500.0,526.540568685,26.5405686853
500.0,520.784332636,20.7843326363
250.0,515.807976008,265.807976008
250.0,574.337671462,324.337671462
500.0,524.49867596,24.4986759602
500.0,869.939940197,369.939940197
250.0,865.346438455,615.346438455
500.0,829.185538565,329.185538565
500.0,1033.63237163,533.632371631
500.0,971.91008315,471.91008315
500.0,871.854013469,371.854013469
500.0,783.370872878,283.370872878
500.0,713.648245353,213.648245353
500.0,660.516206688,160.516206688
490.0,620.457160685,130.457160685
500.0,592.837036708,92.8370367077
500.0,580.882152885,80.8821528851
490.0,563.475208502,73.4752085024
250.0,549.871940224,299.871940224
490.0,596.095338629,106.095338629
490.0,838.677966376,348.677966376
490.0,818.785090383,328.785090383
490.0,753.407971687,263.407971687
500.0,691.760767241,191.760767241
490.0,659.871772549,169.871772549
490.0,621.066229652,131.066229652
