RTT,RTO,Diferencia RTT-RTO
740.0,1000.0,260.0
500.0,2220.0,1720.0
500.0,1770.0,1270.0
500.0,1447.5,947.5
500.0,1209.375,709.375
500.0,1031.71875,531.71875
490.0,898.7109375,408.7109375
240.0,826.513671875,586.513671875
240.0,1437.38037109,1197.38037109
490.0,1327.40905762,837.409057617
240.0,902.175140381,662.175140381
250.0,1067.57976532,817.57976532
240.0,915.921926498,675.921926498
240.0,790.125720501,550.125720501
740.0,663.390359282,76.6096407175
240.0,1817.70887777,1577.70887777
490.0,1232.72286709,742.722867094
500.0,980.165191246,480.165191246
490.0,873.404653666,383.404653666
500.0,750.873680307,250.873680307
490.0,711.485307745,221.485307745
490.0,631.946492687,141.946492687
490.0,590.417997485,100.417997485
250.0,563.803030106,313.803030106
490.0,1117.31730025,627.317300255
490.0,824.222248602,334.222248602
490.0,706.600254804,216.600254804
500.0,643.933583191,143.933583191
490.0,635.821035416,145.821035416
500.0,576.333488567,76.3334885672
500.0,581.492044427,81.4920444268
490.0,567.17951532,77.1795153205
500.0,519.39975699,19.3997569904
250.0,537.428597868,287.428597868
750.0,1162.64955792,412.649557916
500.0,1652.73788495,1152.73788495
250.0,823.630200991,573.630200991
250.0,1294.99184756,1044.99184756
750.0,1187.43618488,437.436184876
490.0,1747.11535533,1257.11535533
490.0,820.09607067,330.09607067
500.0,584.386941544,84.3869415445
500.0,554.993928294,54.9939282939
500.0,539.171376754,39.1713767543
240.0,528.860015199,288.860015199
250.0,1202.19447424,952.194474239
250.0,1120.53322139,870.533221389
500.0,941.996757469,441.996757469
490.0,981.375911445,491.375911445
490.0,866.001519419,376.001519419
490.0,773.868536023,283.868536023
500.0,703.368251132,203.368251132
500.0,682.642900628,182.642900628
500.0,644.511353541,144.511353541
500.0,610.265809673,110.265809673
490.0,583.169930884,93.169930884
490.0,529.99509157,39.9950915704
490.0,512.52572953,22.5257295296
500.0,505.02664986,5.02664986016
500.0,533.303075573,33.3030755734
240.0,532.360578725,292.360578725
240.0,1197.85359436,957.853594358
250.0,1143.03598585,893.035985847
500.0,935.938436905,435.938436905
500.0,986.120623274,486.120623274
490.0,904.382166355,414.382166355
500.0,780.734549491,280.734549491
500.0,735.537893299,235.537893299
500.0,682.90016527,182.90016527
490.0,638.736810276,148.736810276
490.0,571.943029288,81.9430292881
500.0,544.054877361,44.0548773613
500.0,561.19055937,61.1905593698
490.0,552.930269865,62.9302698645
240.0,508.957039983,268.957039983
490.0,1178.85356385,688.853563853
500.0,820.277156754,320.277156754
250.0,723.617113531,473.617113531
250.0,1092.67906282,842.679062823
250.0,1003.87585404,753.875854036
490.0,845.873529756,355.873529756
500.0,960.715936235,460.715936235
490.0,926.489649406,436.489649406
490.0,807.605411362,317.605411362
500.0,725.763602098,225.763602098
500.0,698.712587468,198.712587468
240.0,656.381912074,416.381912074
250.0,1142.05652455,892.056524551
250.0,1036.48491604,786.484916037
250.0,869.224317684,619.224317684
500.0,721.758395927,221.758395927
250.0,1010.64371514,760.643715139
250.0,837.196606819,587.196606819
250.0,694.575910231,444.575910231
500.0,584.476546452,84.4765464521
490.0,1026.47668899,536.476688991
500.0,978.137336531,478.137336531
500.0,910.047957345,410.047957345
500.0,820.397206746,320.397206746
500.0,743.513214744,243.513214744
500.0,683.438738479,183.438738479
250.0,637.780010714,387.780010714
750.0,1125.42866028,375.428660279
250.0,1676.8123485,1426.8123485
250.0,1482.10014452,1232.10014452
250.0,1214.57282918,964.572829181
500.0,983.554052083,483.554052083
250.0,982.096989027,732.096989027
490.0,928.75534745,438.75534745
500.0,934.118604616,434.118604616
500.0,884.351976969,384.351976969
500.0,802.954738604,302.954738604
500.0,730.888742922,230.888742922
500.0,674.084729434,174.084729434
500.0,630.793090136,130.793090136
490.0,598.152203367,108.152203367
490.0,541.128498967,51.1284989666
500.0,520.849960835,20.8499608353
250.0,543.763367279,293.763367279
490.0,1157.9624209,667.962420896
