RTT,RTO,Diferencia RTT-RTO
740.0,1000.0,260.0
490.0,2220.0,1730.0
490.0,2037.5,1547.5
500.0,1838.125,1338.125
500.0,1634.21875,1134.21875
500.0,1448.6328125,948.6328125
500.0,1284.95117188,784.951171875
510.0,1143.82080078,633.820800781
500.0,1016.69616699,516.696166992
500.0,921.020050049,421.020050049
500.0,840.88848114,340.88848114
500.0,774.508943558,274.508943558
500.0,720.013644695,220.013644695
500.0,675.609186292,175.609186292
500.0,639.656104296,139.656104296
500.0,610.703989156,110.703989156
250.0,587.499425067,337.499425067
250.0,756.4781437,506.4781437
250.0,819.87378895,569.87378895
490.0,819.916727594,329.916727594
500.0,870.554006284,370.554006284
500.0,887.752850155,387.752850155
500.0,873.192646698,373.192646698
500.0,841.677991834,341.677991834
500.0,802.596123984,302.596123984
500.0,761.700315569,261.700315569
500.0,722.340153613,222.340153613
500.0,686.303802912,186.303802912
500.0,654.38936796,154.38936796
500.0,626.788162802,126.788162802
500.0,603.338224726,103.338224726
490.0,583.688995513,93.6889955127
490.0,565.627751408,75.6277514084
490.0,550.741567137,60.7415671367
490.0,538.571740538,48.5717405378
500.0,528.690479292,28.6904792923
500.0,529.821604053,29.8216040525
490.0,528.594011477,38.5940114768
500.0,524.27465228,24.2746522795
500.0,524.209131456,24.2091314557
500.0,522.659205276,22.6592052763
500.0,520.371171471,20.3711714707
500.0,517.810954238,17.8109542381
250.0,515.257647405,265.257647405
250.0,697.518661759,447.518661759
490.0,772.070565973,282.070565973
500.0,801.729247239,301.729247239
500.0,811.429177499,311.429177499
500.0,797.421064677,297.421064677
500.0,770.952684672,270.952684672
500.0,739.129678127,239.129678127
500.0,706.283632063,206.283632063
490.0,674.915004147,184.915004147
490.0,633.837963186,143.837963186
500.0,601.742254946,101.742254946
500.0,589.204528127,89.2045281269
500.0,576.576773783,76.5767737832
490.0,564.687613603,74.6876136035
490.0,550.574435253,60.5744352531
490.0,538.849870228,48.8498702276
500.0,529.201685512,29.2016855116
500.0,529.978052003,29.9780520031
500.0,528.541129904,28.5411299043
500.0,525.949040605,25.9490406047
500.0,522.869175336,22.8691753359
500.0,519.707427664,19.7074276637
250.0,516.697230369,266.697230369
250.0,698.585428061,448.585428061
250.0,772.860950009,522.860950009
500.0,781.962121729,281.962121729
500.0,856.60928438,356.60928438
500.0,876.310233097,376.310233097
490.0,863.872627182,373.872627182
500.0,821.634434656,321.634434656
240.0,789.648299194,549.648299194
740.0,875.919369494,135.919369494
500.0,1174.1771683,674.177168297
250.0,1014.8111071,764.811107105
740.0,1066.72465717,326.724657167
500.0,1292.70624775,792.706247746
500.0,1103.78261966,603.782619656
500.0,959.776665127,459.776665127
500.0,850.037274134,350.037274134
500.0,766.431537067,266.431537067
500.0,702.7513389,202.7513389
250.0,654.25926875,404.25926875
250.0,804.841274994,554.841274994
500.0,854.866073819,354.866073819
250.0,874.598217184,624.598217184
250.0,887.112166523,637.112166523
740.0,854.331752619,114.331752619
500.0,1220.87559367,720.875593669
500.0,1097.00177966,597.001779656
500.0,990.010148045,490.010148045
500.0,899.201721011,399.201721011
500.0,823.171873241,323.171873241
500.0,760.206841793,260.206841793
500.0,708.526083991,208.526083991
500.0,666.422777479,166.422777479
490.0,632.338243973,142.338243973
490.0,601.112812332,111.112812332
500.0,576.603956263,76.6039562629
490.0,565.000956937,75.0009569366
500.0,550.589725398,50.5897253979
250.0,544.688038277,294.688038277
250.0,715.956720536,465.956720536
490.0,783.173059274,293.173059274
240.0,812.100655302,572.100655302
500.0,842.409845841,342.409845841
500.0,886.806618607,386.806618607
500.0,887.604389625,387.604389625
500.0,863.827861471,363.827861471
500.0,827.714323042,327.714323042
500.0,786.918312486,286.918312486
500.0,746.038162018,246.038162018
500.0,707.665692253,207.665692253
500.0,673.102072245,173.102072245
500.0,642.841156475,142.841156475
250.0,616.891819075,366.891819075
490.0,767.848150517,277.848150517
