RTT,RTO,Diferencia RTT-RTO
740.0,1000.0,260.0
500.0,2220.0,1720.0
500.0,1970.0,1470.0
490.0,1692.5,1202.5
500.0,1444.375,944.375
490.0,1227.03125,737.03125
490.0,1059.6484375,569.6484375
250.0,925.673828125,675.673828125
500.0,940.974121094,440.974121094
500.0,989.71496582,489.71496582
500.0,946.778411865,446.778411865
500.0,874.829902649,374.829902649
500.0,800.995473862,300.995473862
500.0,735.683128834,235.683128834
500.0,681.730608344,181.730608344
490.0,638.782087117,148.782087117
490.0,608.34132608,118.34132608
500.0,582.133374931,82.1333749313
500.0,571.285547556,71.2855475559
500.0,558.306918846,58.3069188456
500.0,546.151568224,46.1515682236
500.0,535.824365712,35.8243657124
500.0,527.473619057,27.4736190566
490.0,520.907886679,30.9078866786
500.0,520.590113293,20.5901132931
490.0,521.768253066,31.7682530664
490.0,519.428489371,29.4284893708
500.0,514.872516814,14.8725168136
500.0,521.320096122,21.3200961223
250.0,521.072926348,271.072926348
250.0,639.279838484,389.279838484
250.0,634.947450725,384.947450725
740.0,585.204373974,154.795626026
500.0,1197.65845887,697.658458872
500.0,1031.11729064,531.117290636
500.0,902.274691219,402.274691219
500.0,803.674380035,303.674380035
490.0,728.739965836,238.739965836
490.0,677.047064782,187.047064782
500.0,634.281343789,134.281343789
500.0,609.880970173,109.880970173
500.0,586.995708796,86.9957087955
500.0,567.539272179,67.5392721794
500.0,551.800699426,51.800699426
500.0,539.423647215,39.4236472152
500.0,529.854296734,29.8542967342
500.0,522.534003212,22.5340032121
490.0,516.97214274,26.9721427398
500.0,517.707614956,17.7076149556
500.0,519.548621299,19.5486212994
490.0,517.795421016,27.7954210159
500.0,517.40637925,17.4063792495
500.0,520.088273197,20.0882731975
250.0,518.582949278,268.582949278
240.0,637.882188645,397.882188645
490.0,639.134129826,149.134129826
490.0,830.415190417,340.415190417
500.0,859.593689337,359.593689337
500.0,839.336415264,339.336415264
500.0,789.322885579,289.322885579
500.0,734.40245125,234.40245125
500.0,684.50698197,184.50698197
500.0,642.732808244,142.732808244
500.0,609.225892066,109.225892066
500.0,583.007561991,83.0075619912
500.0,562.799742964,62.7997429642
490.0,547.371842959,57.3718429586
500.0,540.447271498,40.4472714983
500.0,536.653462558,36.6534625576
500.0,530.649101385,30.6491013851
250.0,524.566328272,274.566328272
250.0,642.950895534,392.950895534
250.0,638.226246316,388.226246316
740.0,587.926222069,152.073777931
500.0,1199.48088544,699.480885441
500.0,1032.54979841,532.549798414
500.0,903.381915977,403.381915977
500.0,804.521220566,304.521220566
500.0,729.383307216,229.383307216
500.0,672.533676308,172.533676308
500.0,629.648355179,129.648355179
500.0,597.360315358,97.3603153582
500.0,573.082261006,73.0822610056
500.0,554.842707998,54.8427079977
500.0,541.14753712,41.14753712
490.0,530.868405901,40.8684059009
490.0,528.155180956,38.1551809561
490.0,522.368323982,32.3683239823
500.0,516.152212119,16.1522121193
500.0,523.050851479,23.050851479
500.0,522.756484804,22.756484804
500.0,519.8015367,19.8015367004
500.0,516.218239074,16.218239074
500.0,512.84722258,12.8472225798
490.0,509.977188572,19.977188572
500.0,512.380359938,12.3803599379
500.0,515.620712863,15.6207128627
500.0,514.883256102,14.8832561017
490.0,512.746302804,22.7463028036
490.0,514.084568884,24.0845688845
500.0,511.575847554,11.5758475543
500.0,518.254868257,18.2548682566
500.0,518.477642488,18.4776424879
500.0,516.251477514,16.2514775137
500.0,513.385230959,13.3852309591
500.0,510.637234631,10.6372346313
500.0,509.880337718,9.88033771761
500.0,509.940168859,9.94016885881
490.0,509.970084429,19.9700844294
490.0,508.609686393,18.6096863927
490.0,507.696046456,17.6960464556
490.0,505.141425672,15.1414256722
490.0,502.290764669,12.2907646694
500.0,500.311565138,0.311565138419
500.0,511.874609484,11.8746094842
500.0,514.961228902,14.9612289017
500.0,514.24855757,14.2485575705
500.0,512.200236125,12.200236125
250.0,509.907086067,259.907086067
500.0,632.203241858,132.203241858
