RTT,RTO,Diferencia RTT-RTO
740.0,1000.0,260.0
500.0,2220.0,1720.0
500.0,1744.0,1244.0
500.0,1160.4,660.4
500.0,834.04,334.04
500.0,667.404,167.404
490.0,583.7404,93.7404
510.0,552.87404,42.87404
500.0,577.036444,77.036444
500.0,551.4782604,51.4782604
500.0,527.03513404,27.03513404
500.0,513.647167404,13.647167404
500.0,510.000810002,10.0008100024
250.0,510.000081,260.000081
500.0,776.709913537,276.709913537
500.0,1178.35493733,678.354937329
500.0,893.17746672,393.17746672
500.0,701.988733166,201.988733166
500.0,601.534366563,101.534366563
500.0,550.82118328,50.8211832798
500.0,525.41599164,25.4159916397
500.0,512.70853582,12.7085358198
250.0,509.99999775,259.99999775
250.0,778.177157355,528.177157355
250.0,554.088578317,304.088578317
250.0,406.044289123,156.044289123
490.0,656.844289116,166.844289116
500.0,985.151072279,485.151072279
500.0,824.16953614,324.16953614
500.0,670.24416807,170.24416807
500.0,585.938024035,85.9380240349
500.0,543.050606017,43.0506060175
500.0,521.533462409,21.5334624087
500.0,510.767547144,10.7675471444
500.0,509.9999966,9.99999660025
500.0,509.99999966,9.99999966002
500.0,509.999999966,9.999999966
500.0,509.999999997,9.9999999966
500.0,510.0,9.99999999966
500.0,510.0,9.99999999997
500.0,510.0,10.0
500.0,510.0,10.0
500.0,510.0,10.0
500.0,510.0,10.0
500.0,510.0,10.0
500.0,510.0,10.0
500.0,510.0,10.0
490.0,510.0,20.0
490.0,511.000328606,21.0003286057
500.0,502.100164303,2.10016430284
500.0,524.810082151,24.8100821514
500.0,514.781041076,14.7810410757
500.0,509.9901,9.9901
500.0,509.99901,9.99901
500.0,509.999901,9.999901
500.0,509.9999901,9.9999901
500.0,509.99999901,9.99999901
500.0,509.999999901,9.999999901
500.0,509.99999999,9.9999999901
500.0,509.999999999,9.99999999901
500.0,510.0,9.9999999999
250.0,510.0,260.0
250.0,775.007507344,525.007507344
500.0,1105.00750734,605.007507344
500.0,1120.25187684,620.251876836
490.0,869.525938418,379.525938418
500.0,691.802969209,191.802969209
500.0,618.095484605,118.095484605
500.0,561.267142302,61.2671423023
500.0,530.855511151,30.8555111511
490.0,515.449949576,25.4499495756
490.0,518.723495188,28.7234951878
490.0,505.961599634,15.9615996339
490.0,500.009999075,10.0099990752
490.0,500.000999908,10.0009999075
490.0,500.000099991,10.0000999908
500.0,500.000009999,9.99907524601e-06
500.0,519.511254837,19.5112548367
490.0,512.155625019,22.1556250186
490.0,516.917812669,26.9178126693
490.0,505.042906351,15.0429063506
490.0,500.0099,10.0099000001
500.0,500.00099,0.000990000009949
500.0,520.925507294,20.9255072943
500.0,512.862516047,12.8625160471
500.0,509.99000099,9.99000099
500.0,509.999000099,9.999000099
490.0,509.99990001,19.9999000099
500.0,511.840943586,11.840943586
500.0,527.520495791,27.5204957906
500.0,515.920250295,15.9202502951
500.0,509.99099999,9.99099999
500.0,509.999099999,9.999099999
500.0,509.99991,9.9999099999
500.0,509.999991,9.99999099999
250.0,509.9999991,259.9999991
750.0,775.25718728,25.2571872802
500.0,1902.62859386,1402.62859386
500.0,1525.31429691,1025.31429691
490.0,1045.05714846,555.057148455
490.0,786.768574228,296.768574228
490.0,640.308287114,150.308287114
490.0,565.346543557,75.3465435569
500.0,527.692511778,27.6925117784
500.0,537.843369889,37.8433698892
250.0,521.321396345,271.321396345
250.0,785.500717412,535.500717412
490.0,557.73436063,67.7343606302
490.0,1093.86958003,603.869580026
500.0,848.935029984,348.935029984
500.0,704.167538989,204.167538989
250.0,605.053771894,355.053771894
250.0,827.328885787,577.328885787
250.0,578.644642878,328.644642878
490.0,418.320341437,71.6796585628
490.0,1029.56046772,539.560467719
250.0,817.320263559,567.320263559
240.0,913.8241298,673.8241298
490.0,630.928464702,140.928464702
