RTT,RTO,Diferencia RTT-RTO
490.0,1000.0,510.0
490.0,1450.0,960.0
490.0,586.0,96.0
740.0,1000.0,260.0
500.0,1578.46,1078.46
500.0,1273.471,773.471
500.0,743.75335,243.75335
490.0,565.9768975,75.9768975
500.0,545.498080375,45.498080375
250.0,528.032718194,278.032718194
250.0,1208.92204623,958.922046233
250.0,578.671898227,328.671898227
500.0,341.062113224,158.937886776
500.0,1333.22137894,833.22137894
500.0,795.600929798,295.600929798
500.0,582.629790956,82.629790956
500.0,521.53040359,21.5304035896
500.0,509.759648107,9.75964810699
500.0,509.939912027,9.93991202675
500.0,509.984978007,9.98497800669
500.0,509.996244502,9.99624450167
500.0,509.999061125,9.99906112542
490.0,509.999765281,19.9997652814
490.0,528.4996596,38.4996595998
250.0,503.224745911,253.224745911
490.0,1177.66616958,687.666169579
500.0,1179.22756711,679.227567111
500.0,757.537994249,257.537994249
500.0,573.157608809,73.1576088095
500.0,519.166713227,19.1667132271
500.0,509.785308834,9.78530883431
500.0,509.946327209,9.94632720858
500.0,509.986581802,9.98658180214
500.0,509.996645451,9.99664545054
500.0,509.999161363,9.99916136263
500.0,509.999790341,9.99979034066
490.0,509.999947585,19.9999475852
490.0,528.499923993,38.4999239926
500.0,503.22494326,3.22494326036
500.0,532.666255628,32.666255628
500.0,511.352565888,11.3525658883
500.0,509.853515574,9.85351557381
500.0,509.963378893,9.96337889345
500.0,509.990844723,9.99084472336
500.0,509.997711181,9.99771118084
500.0,509.999427795,9.99942779521
500.0,509.999856949,9.9998569488
500.0,509.999964237,9.9999642372
500.0,509.999991059,9.9999910593
500.0,509.999997765,9.99999776483
500.0,509.999999441,9.99999944121
500.0,509.99999986,9.9999998603
500.0,509.999999965,9.99999996508
500.0,509.999999991,9.99999999127
500.0,509.999999998,9.99999999782
500.0,509.999999999,9.99999999945
500.0,510.0,9.99999999986
500.0,510.0,9.99999999997
500.0,510.0,9.99999999999
500.0,510.0,10.0
500.0,510.0,10.0
260.0,510.0,250.0
740.0,1184.0,444.0
490.0,2233.4,1743.4
490.0,1208.09,718.09
240.0,697.7465,457.7465
250.0,1257.259025,1007.259025
500.0,556.09699625,56.09699625
500.0,1320.87434806,820.874348063
500.0,785.903596916,285.903596916
500.0,579.544400219,79.5444002189
250.0,520.692950154,270.692950154
500.0,1211.10774335,711.107743349
500.0,1218.78193122,718.781931218
500.0,733.795982343,233.795982343
500.0,563.859045539,63.8590455395
500.0,516.50576638,16.5057663802
500.0,509.81666917,9.81666916981
500.0,509.954167292,9.95416729245
500.0,509.988541823,9.98854182311
500.0,509.997135456,9.99713545578
250.0,509.999283864,259.999283864
740.0,1212.49896124,472.498961242
500.0,2262.12551379,1762.12551379
490.0,1175.43113353,685.431133535
490.0,720.847758892,230.847758892
490.0,553.660937274,63.660937274
500.0,506.510134074,6.51013407358
490.0,532.817884128,42.8178841277
500.0,523.040790934,23.0407909344
500.0,530.189508513,30.1895085135
250.0,509.990308206,259.990308206
500.0,1211.60464024,711.604640235
500.0,1218.47117386,718.471173858
500.0,733.674794844,233.674794844
500.0,563.824398849,63.8243988491
500.0,516.496669726,16.4966697261
500.0,509.816771199,9.81677119853
490.0,509.9541928,19.9541927996
490.0,528.433219179,38.4332191795
490.0,503.175377668,13.1753776676
490.0,500.155534262,10.1555342625
490.0,500.038883566,10.0388835656
500.0,500.009720891,0.00972089140595
500.0,533.490527348,33.4905273483
490.0,511.965668466,21.965668466
490.0,527.355095181,37.3550951805
500.0,502.525141602,2.52514160153
500.0,532.730898781,32.730898781
500.0,511.392686033,11.3926860333
500.0,509.852905867,9.85290586675
250.0,509.963226467,259.963226467
250.0,1212.4445384,962.444538402
500.0,1161.16995731,661.169957306
500.0,1316.66017716,816.660177158
250.0,783.816437539,533.816437539
240.0,1185.94946445,945.949464454
490.0,592.73690162,102.73690162
