RTT,RTO,Diferencia RTT-RTO
740.0,1000.0,260.0
500.0,2220.0,1720.0
500.0,1710.0,1210.0
490.0,1192.5,702.5
500.0,893.125,393.125
500.0,679.53125,179.53125
500.0,585.5078125,85.5078125
500.0,541.689453125,41.689453125
500.0,520.578613281,20.5786132812
500.0,510.78125,10.78125
500.0,510.390625,10.390625
490.0,510.1953125,20.1953125
490.0,526.270570755,36.270570755
490.0,515.635025501,25.6350255013
490.0,504.692447782,14.6924477816
490.0,500.637207031,10.6372070313
490.0,500.318603516,10.3186035156
490.0,500.159301758,10.1593017578
490.0,500.079650879,10.0796508789
500.0,500.039825439,0.0398254394531
500.0,525.019454972,25.0194549719
490.0,519.950103764,29.9501037637
500.0,521.89488411,21.8948841105
500.0,522.647531033,22.6475310328
490.0,514.248787761,24.2487877608
500.0,523.488116711,23.4881167114
490.0,521.768755428,31.7687554285
240.0,521.0486688,281.0486688
490.0,1134.31540717,644.315407171
500.0,989.940942574,489.940942574
500.0,819.416281034,319.416281034
500.0,678.319592954,178.319592954
500.0,593.812659586,93.8126595861
490.0,548.06954557,58.0695455704
240.0,522.471343267,282.471343267
500.0,1132.09481425,632.094814254
250.0,1025.47575115,775.475751148
250.0,1039.2381824,789.238182396
250.0,744.994167904,494.994167904
250.0,522.590853128,272.590853128
500.0,785.137737716,285.137737716
500.0,1129.1563437,629.156343702
500.0,985.296149169,485.296149169
500.0,785.327568914,285.327568914
500.0,653.333658039,153.333658039
500.0,579.334297415,79.3342974153
500.0,540.334015807,40.3340158065
500.0,520.333724678,20.333724678
250.0,510.208541533,260.208541533
750.0,1124.52366108,374.523661078
500.0,1876.16219286,1376.16219286
500.0,1046.40842964,546.408429639
500.0,737.786048121,237.786048121
500.0,610.038482386,110.038482386
500.0,552.805605775,52.8056057745
250.0,525.849394033,275.849394033
490.0,1137.7863448,647.786344803
490.0,965.521049307,475.521049307
500.0,765.66749388,265.66749388
500.0,672.310489246,172.310489246
500.0,596.0244302,96.0244301999
500.0,550.479511494,50.4795114941
500.0,525.856579846,25.8565798456
500.0,513.082495947,13.0824959474
500.0,509.398331729,9.39833172854
500.0,509.699165864,9.69916586427
250.0,509.849582932,259.849582932
250.0,1124.9241891,874.924189099
500.0,874.736619539,374.736619539
490.0,1109.41256662,619.412566619
490.0,875.217347522,385.217347522
500.0,701.486439814,201.486439814
500.0,635.46266142,135.46266142
500.0,576.411191088,76.4111910885
500.0,540.375560639,40.3755606388
500.0,520.730271593,20.730271593
490.0,510.500758615,20.5007586149
500.0,524.482622412,24.4826224121
490.0,521.200203282,31.2002032822
240.0,521.38940901,281.38940901
240.0,1134.64203135,894.642031347
240.0,875.807847384,635.807847384
500.0,605.02563162,105.02563162
500.0,1154.07139377,654.07139377
250.0,977.425341375,727.425341375
250.0,1058.86554407,808.865544065
740.0,765.720990377,25.7209903772
490.0,1961.29368421,1471.29368421
500.0,952.449572143,452.449572143
500.0,627.925468581,127.925468581
250.0,539.387904918,289.387904918
250.0,1138.55024512,888.550245116
250.0,880.239195722,630.239195722
250.0,611.610616152,361.610616152
250.0,442.428062649,192.428062649
500.0,349.119719968,150.880280032
500.0,1128.19763202,628.197632017
500.0,990.008259016,490.008259016
500.0,788.98149026,288.98149026
500.0,655.485085318,155.485085318
490.0,580.491127706,90.4911277061
500.0,520.529230431,20.5292304313
240.0,529.287271702,289.287271702
240.0,1143.04843005,903.048430052
500.0,881.125413576,381.125413576
500.0,1134.55072391,634.550723906
490.0,928.272366232,438.272366232
500.0,706.885434186,206.885434186
500.0,632.88002986,132.88002986
500.0,573.799343122,73.7993431221
500.0,538.739503609,38.739503609
500.0,519.829709817,19.8297098165
500.0,510.029844411,10.0298444112
500.0,509.538871186,9.53887118572
500.0,509.769435593,9.76943559286
500.0,509.884717796,9.88471779643
250.0,509.942358898,259.942358898
500.0,1124.97106715,624.971067155
500.0,1000.0720233,500.072023304
