RTT,RTO,Diferencia RTT-RTO
490.0,1000.0,510.0
490.0,1450.0,960.0
240.0,586.0,346.0
240.0,1274.6,1034.6
490.0,843.46,353.46
500.0,1125.346,625.346
500.0,894.5346,394.5346
490.0,705.45346,215.45346
490.0,562.545346,72.545346
500.0,522.7545346,22.7545346
490.0,547.02545346,57.02545346
250.0,507.733795346,257.733795346
250.0,1241.78900453,991.789004535
240.0,832.186712953,592.186712953
490.0,580.722577545,90.7225775453
250.0,1186.47069525,936.470695255
250.0,874.023046088,624.023046088
500.0,577.59029289,77.59029289
500.0,1201.68383398,701.683833977
250.0,917.130785741,667.130785741
250.0,1099.86157711,849.861577109
250.0,726.560406979,476.560406979
500.0,986.886330663,486.886330663
500.0,1221.02946668,721.02946668
500.0,932.945521741,432.945521741
490.0,723.715839711,233.715839711
490.0,571.582227739,81.5822277394
500.0,527.263544658,27.2635446581
490.0,549.279015408,59.2790154079
240.0,506.832488452,266.832488452
490.0,1272.1355423,782.135542301
250.0,966.032636848,716.032636848
490.0,1032.96633705,542.966337049
250.0,1027.75140436,777.751404359
250.0,985.615908777,735.615908777
250.0,652.481975048,402.481975048
490.0,454.70838959,35.2916104099
500.0,1188.68676212,688.686762125
490.0,951.976637795,461.976637795
500.0,695.751644571,195.751644571
500.0,631.352154853,131.352154853
500.0,569.023710683,69.0237106832
500.0,534.846618667,34.8466186672
250.0,517.456785666,267.456785666
250.0,1268.01310119,1018.01310119
250.0,847.435021432,597.435021432
740.0,557.5603578,182.4396422
490.0,2190.62929352,1700.62929352
490.0,742.017143266,252.017143266
500.0,556.178821284,56.1788212836
500.0,521.227039346,21.2270393455
490.0,509.927282543,19.9272825431
490.0,527.114866624,37.1148666239
500.0,511.272555847,11.2725558472
250.0,526.102827911,276.102827911
750.0,1262.00055009,512.000550087
500.0,2007.44394809,1507.44394809
500.0,896.841961633,396.841961633
500.0,662.732979575,162.732979575
250.0,577.797689664,327.797689664
240.0,1313.54196482,1073.54196482
740.0,902.735294408,162.735294408
500.0,2134.12109027,1634.12109027
500.0,762.257383509,262.257383509
500.0,575.648375592,75.6483755917
500.0,532.27615618,32.2761561796
490.0,515.583274928,25.5832749282
500.0,538.736157148,38.7361571479
250.0,517.402483853,267.402483853
500.0,1268.2847058,768.284705799
250.0,980.210687614,730.210687614
240.0,1070.90718311,830.907183115
250.0,737.033775488,487.033775488
500.0,465.674906137,34.3250938628
500.0,1229.77887918,729.778879178
500.0,939.5835822,439.5835822
500.0,727.261205361,227.261205361
500.0,614.377544107,114.377544107
500.0,557.263466196,57.263466196
500.0,528.639202512,28.6392025122
500.0,514.320348198,14.3203481975
490.0,509.104966567,19.1049665667
490.0,528.135891146,38.1358911461
500.0,512.023522248,12.023522248
250.0,525.918378971,275.918378971
250.0,1262.14432118,1012.14432118
740.0,843.49067376,103.49067376
490.0,2121.43857072,1631.43857072
490.0,796.212917482,306.212917482
500.0,592.155821953,92.1558219534
250.0,512.601770113,262.601770113
500.0,1274.14380956,774.143809563
500.0,978.260927936,478.260927936
500.0,748.249366283,248.249366283
500.0,625.036573373,125.036573373
500.0,562.60947571,62.6094757098
500.0,531.313856757,31.3138567572
500.0,515.657840269,15.6578402688
500.0,509.021370735,9.02137073491
500.0,509.510685367,9.51068536746
500.0,509.755342684,9.75534268373
500.0,509.877671342,9.87767134186
490.0,509.938835671,19.9388356709
490.0,530.804274147,40.8042741468
500.0,513.958098757,13.9580987565
500.0,525.444741339,25.4447413389
490.0,514.568939866,24.5689398655
500.0,524.941602904,24.9416029043
240.0,521.500276723,281.500276723
250.0,1296.2712049,1046.2712049
250.0,828.687709105,578.687709105
490.0,544.899065218,54.8990652178
500.0,1168.6777888,668.677788799
