RTT,RTO,Diferencia RTT-RTO
490.0,1000.0,510.0
740.0,1450.0,710.0
490.0,1595.0,1105.0
500.0,1292.5,792.5
500.0,1001.25,501.25
500.0,803.125,303.125
500.0,677.8125,177.8125
500.0,602.03125,102.03125
500.0,557.578125,57.578125
500.0,532.0703125,32.0703125
500.0,517.67578125,17.67578125
500.0,510.205078125,10.205078125
500.0,510.102539062,10.1025390625
490.0,510.051269531,20.0512695312
500.0,516.514892578,16.5148925781
490.0,518.206176758,28.2061767578
490.0,519.128723145,29.1287231445
490.0,512.077178955,22.0771789551
500.0,504.794998169,4.79499816895
500.0,520.519294739,20.5192947388
500.0,519.320545197,19.3205451965
500.0,514.190721512,14.1907215118
250.0,509.433693886,259.433693886
490.0,878.547680378,388.547680378
500.0,914.840146303,414.840146303
500.0,842.703226209,342.703226209
500.0,738.993189633,238.993189633
500.0,653.317383081,153.317383081
500.0,593.569085672,93.5690856725
500.0,555.239739902,55.2397399023
500.0,531.847468484,31.8474684842
500.0,518.037533509,18.0375335086
500.0,510.075666388,10.0756663876
500.0,509.867887546,9.86788754584
500.0,509.933943773,9.93394377292
500.0,509.966971886,9.96697188646
500.0,509.983485943,9.98348594323
500.0,509.991742972,9.99174297162
500.0,509.995871486,9.99587148581
500.0,509.997935743,9.9979357429
250.0,509.998967871,259.998967871
250.0,875.034128836,625.034128836
500.0,812.516032289,312.516032289
500.0,1031.25853221,531.258532209
500.0,953.129524137,453.129524137
500.0,820.314891084,320.314891084
490.0,707.03251005,217.03251005
490.0,601.953787279,111.953787279
490.0,547.695659767,57.6956597666
500.0,519.707212947,19.7072129468
490.0,530.283298005,40.2832980051
500.0,519.926803237,19.9268032367
500.0,525.070824501,25.0708245013
490.0,520.089123692,30.0891236921
490.0,521.267706125,31.2677061253
490.0,513.745425202,23.7454252023
250.0,505.928498671,255.928498671
250.0,859.99214237,609.99214237
500.0,796.010017703,296.010017703
500.0,1027.49803559,527.498035593
500.0,953.495531167,453.495531167
500.0,821.621022269,321.621022269
500.0,708.247139477,208.247139477
500.0,627.84188391,127.84188391
500.0,575.780099041,75.7800990406
500.0,543.819628063,43.8196280631
500.0,524.874603303,24.874603303
490.0,513.919696287,23.9196962872
490.0,521.218650826,31.2186508257
490.0,515.238726754,25.2387267539
500.0,507.434064048,7.43406404751
500.0,521.309681688,21.3096816885
500.0,519.451165677,19.4511656766
500.0,514.123745254,14.1237452545
500.0,509.450229698,9.45022969798
490.0,509.725114849,19.725114849
500.0,517.315238459,17.3152384588
500.0,518.93250438,18.9325043804
500.0,514.603694766,14.6036947657
500.0,509.870568671,9.87056867061
500.0,509.678909839,9.67890983903
490.0,509.83945492,19.8394549195
490.0,516.554911245,26.5549112448
250.0,513.116910542,263.116910542
500.0,866.478182731,366.478182731
250.0,940.779227635,690.779227635
750.0,966.619545683,216.619545683
500.0,1672.69480691,1172.69480691
500.0,1179.15488642,679.154886421
500.0,885.981184693,385.981184693
500.0,716.192463088,216.192463088
500.0,619.697166915,119.697166915
490.0,565.649051143,75.6490511429
500.0,550.724759414,50.7247594141
500.0,533.912262786,33.9122627857
500.0,521.231072932,21.2310729322
500.0,512.753007236,12.7530072358
500.0,509.732816154,9.73281615379
500.0,509.866408077,9.8664080769
500.0,509.933204038,9.93320403845
500.0,509.966602019,9.96660201922
500.0,509.98330101,9.98330100961
490.0,509.991650505,19.9916505048
490.0,515.183127821,25.183127821
490.0,512.583214415,22.5832144153
500.0,506.28743246,6.28743246005
500.0,520.645803604,20.6458036038
500.0,519.073945489,19.0739454888
500.0,513.912494588,13.9124945879
500.0,509.45305977,9.45305976957
500.0,509.726529885,9.72652988478
250.0,509.863264942,259.863264942
500.0,876.416471142,376.416471142
500.0,938.344970629,438.344970629
250.0,844.240852843,594.240852843
750.0,984.586242657,234.586242657
500.0,1648.56021321,1148.56021321
500.0,1183.64656066,683.646560664
500.0,896.506507362,396.506507362
250.0,725.594867196,475.594867196
500.0,1001.46824036,501.468240355
